Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000050/20;50.0;DISPENSA;20;19;Homologada  ;25/06/2020;10870.0;9950.0;Contratação de empresa especializada no fornecimento de estrutura para instalação de Barreira Sanitária no município de Riolândia/SP, em atendimento à;08/06/2020;25/06/2020;;N;Art. 24, II, Lei 8666/93;920.0;0.08463661453541858
000049/20;49.0;DISPENSA;20;18;Homologada  ;23/06/2020;15700.0;14500.0;contratação de empresa especializada em prestação de serviços de promoção de Oficinas para técnicos que visam orientar sobre a música como ferramenta ;27/05/2020;23/06/2020;;N;Art. 24, II, Lei 8666/93;1200.0;0.07643312101910828
000048/20;48.0;DISPENSA;20;17;Homologada  ;22/06/2020;15700.0;15000.0;Contratação de empresa especializada na prestação de serviços de totens com dispenser para álcool em gel, para higienização e esterilização das mãos, ;03/06/2020;22/06/2020;;N;Art. 24, II, Lei 8666/93;700.0;0.044585987261146494
000047/20;47.0;DISPENSA;20;16;Homologada  ;22/06/2020;1383.33;1250.0;Contratação de empresa especializada na prestação de serviços de confecção de máscaras de tecido, para atender a demanda dos cursos e projetos da Assi;03/06/2020;22/06/2020;;N;Art. 24, II, Lei 8666/93;133.32999999999993;0.0963833647791922
000046/20;46.0;PREGÃO PRESENCIAL;20;19;Homologada  ;23/06/2020;244729.93;711265.0;Aquisição de materiais hospitalares para atender a demanda das Unidades Básicas de Saúde e Programas e Projetos da Assistência Social do município de ;08/06/2020;23/06/2020;;S;;-466535.07;-1.9063261694227593
000045/20;45.0;PREGÃO PRESENCIAL;20;18;Homologada  ;22/06/2020;60573.12;48976.3;Registro de preço para aquisição futura e parcelada de alimentos para suprir a demanda do Fundo Social da prefeitura municipal de Riolândia, pelo perí;08/06/2020;22/06/2020;;S;;11596.82;0.1914515877669831
000044/20;44.0;PREGÃO PRESENCIAL;20;17;Homologada  ;30/06/2020;470066.56;161330.0;Aquisição de fraldas descartáveis, infantil e geriátrica, para suprir a demanda dos Setores da Educação e Saúde do município de Riolândia, com entrega;16/06/2020;30/06/2020;;S;;308736.56;0.6567932847637578
000043/20;43.0;TOMADA DE PREÇOS;20;2;Homologada  ;27/05/2020;266169.34;266000.0;Contratação de empresa especializada em obras e serviços de engenharia, para a valorização turística e revitalização da Praia Municipal de Riolândia (;11/05/2020;27/05/2020;;N;;169.3400000000256;0.0006362115185769541
000042/20;42.0;DISPENSA;20;15;Homologada  ;07/05/2020;3000.0;3000.0;Contratação de empresa especializada na prestação de serviços de confecção de máscaras de tecido, para distribuições aos servidores públicos municipai;15/04/2020;07/05/2020;;N;Art. 24, II, Lei 8666/93;0.0;0.0
000041/20;41.0;DISPENSA;20;14;Homologada  ;22/04/2020;13000.0;13000.0;Contratação de empresa especializada para a realização de serviços de arqueologia para o licenciamento ambiental do município de Riolândia/SP, em aten;02/03/2020;22/04/2020;;N;Art. 24, II, Lei 8666/93;0.0;0.0
000040/20;40.0;PREGÃO PRESENCIAL;20;16;Homologada  ;07/05/2020;63134.37;49280.0;Aquisição de ração canina para atender a demanda do canil municipal de Riolândia;23/04/2020;07/05/2020;;N;;13854.370000000003;0.2194425952139857
000039/20;39.0;PREGÃO PRESENCIAL;20;15;Homologada  ;28/04/2020;178895.83;119000.0;Aquisição de cestas básicas de alimentos para o Fundo Municipal de Assistência e Promoção Social da Prefeitura Municipal de Riolândia;13/04/2020;28/04/2020;;S;;59895.82999999999;0.3348084189553216
000038/20;38.0;CONVITE;20;5;Homologada  ;17/04/2020;46560.0;42000.0;Contratação de empresa prestadora de serviços especializada em assessoria de imprensa, comunicação institucional e de serviços editoriais para promoçã;31/03/2020;17/04/2020;;N;;4560.0;0.0979381443298969
